tik,uik,voters,turnout,putin,stationary,cam,marked,gaps,mn_in,mn_out,koib
TIK-25,990,1212,70%,74%,1185,c2,yes,,78,338,КОИБ
TIK-11,470,1386,69%,79%,1368,c1,yes,1858,111,281,
TIK-11,470,1386,69%,79%,1368,c2,yes,1872,111,281,
TIK-14,261,1316,69%,77%,1277,c1,,"X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",145,371,
TIK-14,261,1316,69%,77%,1277,c2,yes,,145,371,
TIK-14,270,1483,69%,82%,1452,c1,yes,19,160,271,
TIK-14,270,1483,69%,82%,1452,c2,yes,,160,271,
TIK-14,312,1531,69%,74%,1516,c1,yes,,409,301,
TIK-14,312,1531,69%,74%,1516,c2,yes,2,409,301,
TIK-24,1550,955,69%,66%,930,c1,yes,"20, 44, 21, 26",298,222,
TIK-24,1550,955,69%,66%,930,c2,yes,"20, 38, 4, 34",298,222,
TIK-27,1372,878,69%,75%,855,c1,yes,,136,253,
TIK-27,1372,878,69%,75%,855,c2,yes,171,136,253,
TIK-11,445,1336,68%,74%,1281,c1,yes,17,134,212,
TIK-11,445,1336,68%,74%,1281,c2,yes,,134,212,
TIK-20,2017,1494,68%,77%,1481,c1,yes,101,164,532,
TIK-20,2017,1494,68%,77%,1481,c2,yes,117,164,532,
TIK-1,46,1162,67%,66%,1149,c1,yes,164,271,118,
TIK-1,46,1162,67%,66%,1149,c2,yes,182,271,118,
TIK-9,1823,1328,67%,74%,1294,c1,yes,,84,298,
TIK-9,1823,1328,67%,74%,1294,c2,yes,"144, 8",84,298,
TIK-11,496,1066,67%,74%,1048,c1,yes,152,104,188,
TIK-11,496,1066,67%,74%,1048,c2,yes,,104,188,
TIK-17,514,1051,67%,77%,953,c1,yes,"21, 36",216,396,
TIK-17,514,1051,67%,77%,953,c2,yes,"28, 44",216,396,
TIK-19,1347,1334,67%,74%,1308,c1,yes,"41, 50, 57, 96, 96, 66, 45",146,319,
TIK-19,1347,1334,67%,74%,1308,c2,yes,"50, 46, 52, 82, 82, 60, 43",146,319,
TIK-30,2263,1248,67%,72%,1225,c1,yes,"19, 20, 6",252,339,
TIK-30,2263,1248,67%,72%,1225,c2,,"20, 3, 8, 2",252,339,
TIK-3,582,1006,66%,77%,995,c1,,"163, 155",352,255,
TIK-3,582,1006,66%,77%,995,c2,yes,,352,255,
TIK-10,239,1504,66%,75%,1483,c1,,2,204,349,
TIK-10,239,1504,66%,75%,1483,c2,yes,4,204,349,
TIK-13,1262,1344,66%,77%,1299,c1,yes,,264,121,
TIK-13,1262,1344,66%,77%,1299,c2,yes,"7, 33, 7, 2, 35, 2, 2, 7, 7, 2, 7, 6, 6, 7, 35, 22",264,121,
TIK-19,1304,799,66%,70%,778,c1,yes,"32, 34, 43",132,217,
TIK-19,1304,799,66%,70%,778,c2,yes,"32, 31, 31",132,217,
TIK-20,1961,1681,66%,75%,1628,c1,yes,158,133,255,
TIK-20,1961,1681,66%,75%,1628,c2,,160,133,255,
TIK-24,1558,1236,66%,77%,1164,c1,yes,"32, 43, 44",168,258,
TIK-24,1558,1236,66%,77%,1164,c2,,"28, 44, 2, 38",168,258,
TIK-28,1899,1198,66%,75%,1175,c1,yes,"2593, 9, 9, 9, 77, 415, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",154,361,
TIK-28,1899,1198,66%,75%,1175,c2,yes,"770, 25",154,361,
TIK-1,25,1282,65%,72%,1259,c1,yes,"20, 46, 20",365,154,
TIK-1,25,1282,65%,72%,1259,c2,yes,"3, 50, 24",365,154,
TIK-12,1736,1625,65%,74%,1611,c1,yes,,212,324,
TIK-12,1736,1625,65%,74%,1611,c2,yes,16,212,324,
TIK-19,1311,808,65%,72%,784,c1,yes,"40, 38, 40",120,241,
TIK-19,1311,808,65%,72%,784,c2,yes,,120,241,
TIK-20,2012,1638,65%,74%,1634,c1,yes,60,299,507,
TIK-20,2012,1638,65%,74%,1634,c2,yes,47,299,507,
TIK-20,2021,1279,65%,80%,1230,c1,,,140,215,
TIK-20,2021,1279,65%,80%,1230,c2,yes,69,140,215,
TIK-22,356,1116,65%,68%,1072,c1,yes,144,135,275,
TIK-22,356,1116,65%,68%,1072,c2,yes,,135,275,
TIK-22,359,936,65%,68%,890,c1,,19,129,240,
TIK-22,359,936,65%,68%,890,c2,yes,19,129,240,
TIK-27,1396,1047,65%,65%,1018,c1,yes,,457,251,
TIK-27,1396,1047,65%,65%,1018,c2,,"82, 59, 175, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",457,251,
TIK-1,3,1204,64%,72%,1170,c1,yes,40,121,161,
TIK-1,3,1204,64%,72%,1170,c2,yes,,121,161,
TIK-3,600,708,64%,69%,691,c1,yes,,163,205,
TIK-3,600,708,64%,69%,691,c2,yes,6,163,205,
TIK-3,606,906,64%,71%,891,c1,yes,9,107,263,
TIK-3,606,906,64%,71%,891,c2,yes,26,107,263,
TIK-5,1526,1609,64%,71%,1592,c1,yes,"38, 12, 36",302,249,
TIK-5,1526,1609,64%,71%,1592,c2,yes,"17, 14, 8, 8",302,249,
TIK-6,1074,1061,64%,77%,1041,c1,yes,148,66,103,КОИБ
TIK-6,1074,1061,64%,77%,1041,c2,yes,,66,103,КОИБ
TIK-11,472,1604,64%,77%,1578,c1,yes,166,91,230,
TIK-11,472,1604,64%,77%,1578,c2,yes,200,91,230,
TIK-14,274,1140,64%,76%,1122,c1,yes,18,48,282,
TIK-14,274,1140,64%,76%,1122,c2,yes,,48,282,
TIK-15,1224,505,64%,80%,491,c1,yes,"34, 20, 26",82,50,КОИБ
TIK-15,1224,505,64%,80%,491,c2,yes,"5, 46, 2, 36",82,50,КОИБ
TIK-17,532,1258,64%,76%,1216,c1,yes,918,83,348,
TIK-17,532,1258,64%,76%,1216,c2,yes,918,83,348,
TIK-20,1981,1030,64%,76%,1004,c1,yes,"26, 45",101,153,
TIK-20,1981,1030,64%,76%,1004,c2,yes,"23, 40",101,153,
TIK-21,876,734,64%,82%,708,c1,yes,"5, 40",72,56,КОИБ
TIK-21,876,734,64%,82%,708,c2,yes,,72,56,КОИБ
TIK-23,2039,767,64%,75%,705,c1,yes,26,116,123,
TIK-23,2039,767,64%,75%,705,c2,yes,34,116,123,
TIK-25,979,1243,64%,75%,1220,c1,yes,17,58,270,КОИБ
TIK-25,979,1243,64%,75%,1220,c2,yes,,58,270,КОИБ
TIK-1,41,597,63%,71%,589,c1,yes,8,233,75,
TIK-1,41,597,63%,71%,589,c2,yes,,233,75,
TIK-1,47,1540,63%,70%,1504,c1,,"26, 26",419,171,
TIK-1,47,1540,63%,70%,1504,c2,yes,"25, 33",419,171,
TIK-1,48,630,63%,70%,618,c1,yes,"25, 24",121,69,
TIK-1,48,630,63%,70%,618,c2,yes,"26, 25",121,69,
TIK-3,599,822,63%,72%,797,c1,yes,5,93,213,
TIK-3,599,822,63%,72%,797,c2,yes,5,93,213,
TIK-5,1518,1529,63%,72%,1515,c1,yes,"41, 15, 45, 31, 16, 7, 7, 33, 19, 42, 16, 37, 21, 20, 19, 32, 32",146,270,
TIK-5,1518,1529,63%,72%,1515,c2,yes,,146,270,
TIK-5,1528,1342,63%,72%,1322,c1,yes,"4, 23, 22, 29",102,232,
TIK-5,1528,1342,63%,72%,1322,c2,yes,"5, 18, 2",102,232,
TIK-8,1682,1851,63%,77%,1826,c1,yes,4,300,199,КОИБ
TIK-8,1682,1851,63%,77%,1826,c2,yes,10,300,199,КОИБ
TIK-9,1802,1394,63%,76%,1330,c1,yes,"371, 286",89,398,
TIK-9,1802,1394,63%,76%,1330,c2,yes,,89,398,
TIK-17,559,1419,63%,74%,1347,c1,yes,47,77,185,
TIK-17,559,1419,63%,74%,1347,c2,yes,37,77,185,
TIK-19,1300,1394,63%,71%,1363,c1,yes,"32, 30, 32",180,340,
TIK-19,1300,1394,63%,71%,1363,c2,yes,"31, 31, 30",180,340,
TIK-19,1307,1436,63%,72%,1380,c1,yes,"40, 39, 36",138,332,
TIK-19,1307,1436,63%,72%,1380,c2,,"32, 40, 40",138,332,
TIK-21,839,1527,63%,78%,1508,c1,yes,"57, 324, 357, 448, 271",101,134,КОИБ
TIK-21,839,1527,63%,78%,1508,c2,yes,,101,134,КОИБ
TIK-22,332,1296,63%,71%,1281,c1,yes,"524, 33",371,179,
TIK-22,332,1296,63%,71%,1281,c2,yes,"542, 25",371,179,
TIK-24,1551,1008,63%,72%,974,c1,yes,"21, 56, 29, 26",79,291,
TIK-24,1551,1008,63%,72%,974,c2,yes,"20, 43, 36",79,291,
TIK-28,1900,924,63%,78%,913,c1,yes,"1717, 140, 140, 58",70,252,
TIK-28,1900,924,63%,78%,913,c2,yes,"1703, 124, 124",70,252,
TIK-28,1913,1440,63%,75%,1408,c1,yes,209,85,316,
TIK-28,1913,1440,63%,75%,1408,c2,yes,204,85,316,
TIK-28,1914,1581,63%,79%,1563,c1,yes,237,117,340,
TIK-28,1914,1581,63%,79%,1563,c2,yes,228,117,340,
TIK-29,2149,1301,63%,75%,1276,c1,yes,"3, 3",85,131,
TIK-29,2149,1301,63%,75%,1276,c2,yes,,85,131,
TIK-6,1124,1719,62%,72%,1714,c1,yes,,610,188,КОИБ
TIK-6,1124,1719,62%,72%,1714,c2,yes,2,610,188,КОИБ
TIK-6,1138,1132,62%,73%,1128,c1,yes,286,251,109,КОИБ
TIK-6,1138,1132,62%,73%,1128,c2,yes,279,251,109,КОИБ
TIK-10,221,975,62%,81%,954,c1,yes,22,148,245,
TIK-10,221,975,62%,81%,954,c2,yes,,148,245,
TIK-18,1664,1244,62%,74%,1158,c1,yes,"36, 42, 20",183,122,
TIK-18,1664,1244,62%,74%,1158,c2,,"32, 40, 20",183,122,
TIK-20,1962,1561,62%,73%,1512,c1,,"X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",148,157,
TIK-20,1962,1561,62%,73%,1512,c2,yes,,148,157,
TIK-26,1176,1108,62%,78%,1079,c1,yes,"23, 2, 5, 3, 7, 2, 35, 34, 4, 2, 8, 7, 35, 35, 3, 34, 2, 33, 20, 7, 8, 3",103,140,КОИБ
TIK-26,1176,1108,62%,78%,1079,c2,yes,,103,140,КОИБ
TIK-26,1188,1758,62%,77%,1738,c1,yes,21,172,219,КОИБ
TIK-26,1188,1758,62%,77%,1738,c2,yes,29,172,219,КОИБ
TIK-29,2126,1255,62%,75%,1219,c1,yes,,87,147,
TIK-29,2126,1255,62%,75%,1219,c2,yes,2,87,147,
TIK-1,17,1017,61%,72%,991,c1,yes,"4, 46, 4",218,122,
TIK-1,17,1017,61%,72%,991,c2,yes,"4, 54, 3",218,122,
TIK-2,176,1269,61%,75%,1252,c1,,9,233,285,КОИБ
TIK-2,176,1269,61%,75%,1252,c2,yes,10,233,285,КОИБ
TIK-3,630,1065,61%,71%,1041,c1,yes,,109,251,
TIK-3,630,1065,61%,71%,1041,c2,yes,344,109,251,
TIK-4,902,1001,61%,83%,917,c1,yes,,50,260,КОИБ
TIK-4,902,1001,61%,83%,917,c2,,"36, 165",50,260,КОИБ
TIK-11,469,1433,61%,78%,1408,c1,yes,159,154,286,
TIK-11,469,1433,61%,78%,1408,c2,yes,,154,286,
TIK-12,1775,1093,61%,75%,1064,c1,yes,3,110,194,
TIK-12,1775,1093,61%,75%,1064,c2,yes,,110,194,
TIK-19,1303,1325,61%,70%,1280,c1,yes,"39, 39, 40",110,329,
TIK-19,1303,1325,61%,70%,1280,c2,yes,"31, 39, 40",110,329,
TIK-19,1344,1166,61%,73%,1156,c1,yes,154,171,349,
TIK-19,1344,1166,61%,73%,1156,c2,yes,,171,349,
TIK-20,1965,1229,61%,76%,1176,c1,yes,149,156,293,
TIK-20,1965,1229,61%,76%,1176,c2,yes,131,156,293,
TIK-20,1966,1633,61%,74%,1589,c1,yes,"166, 20",196,179,
TIK-20,1966,1633,61%,74%,1589,c2,yes,"165, 25",196,179,
TIK-20,2013,1389,61%,77%,1378,c1,,62,123,498,
TIK-20,2013,1389,61%,77%,1378,c2,yes,58,123,498,
TIK-26,1183,563,61%,76%,553,c1,yes,,45,59,
TIK-26,1183,563,61%,76%,553,c2,yes,5,45,59,
TIK-26,1189,1669,61%,76%,1660,c1,yes,5,335,246,КОИБ
TIK-26,1189,1669,61%,76%,1660,c2,yes,"8, 2",335,246,КОИБ
TIK-28,1884,1412,61%,74%,1372,c1,yes,144,84,350,
TIK-28,1884,1412,61%,74%,1372,c2,yes,,84,350,
TIK-28,1901,1381,61%,76%,1365,c1,yes,"336, 546",105,352,
TIK-28,1901,1381,61%,76%,1365,c2,yes,"324, 574, 9",105,352,
TIK-29,2119,1491,61%,76%,1424,c1,yes,"5, 6, 33, 7, 35",98,222,
TIK-29,2119,1491,61%,76%,1424,c2,yes,,98,222,
TIK-5,1437,1397,60%,76%,1356,c1,yes,,171,279,
TIK-5,1437,1397,60%,76%,1356,c2,yes,200,171,279,
TIK-5,1535,983,60%,73%,976,c1,yes,45,103,150,
TIK-5,1535,983,60%,73%,976,c2,yes,44,103,150,
TIK-8,1675,576,60%,74%,560,c1,yes,21,172,55,
TIK-8,1675,576,60%,74%,560,c2,yes,,172,55,
TIK-11,434,1224,60%,73%,1194,c1,,,107,159,
TIK-11,434,1224,60%,73%,1194,c2,,"49, 49",107,159,
TIK-20,2011,1622,60%,76%,1609,c1,yes,,381,655,
TIK-20,2011,1622,60%,76%,1609,c2,,52,381,655,
TIK-22,331,761,60%,69%,749,c1,yes,149,333,165,
TIK-22,331,761,60%,69%,749,c2,yes,"147, 17",333,165,
TIK-24,1577,1833,60%,72%,1807,c1,,6,234,236,
TIK-24,1577,1833,60%,72%,1807,c2,yes,170,234,236,
TIK-26,1158,1274,60%,79%,1237,c1,,"91, 279",194,136,КОИБ
TIK-26,1158,1274,60%,79%,1237,c2,yes,"88, 280",194,136,КОИБ
TIK-26,1167,1427,60%,75%,1318,c1,yes,15,156,162,КОИБ
TIK-26,1167,1427,60%,75%,1318,c2,yes,,156,162,КОИБ
TIK-26,1195,980,60%,77%,946,c1,yes,162,79,91,КОИБ
TIK-26,1195,980,60%,77%,946,c2,yes,,79,91,КОИБ
TIK-1,24,876,59%,74%,853,c1,yes,"3, 45, 21",97,168,
TIK-1,24,876,59%,74%,853,c2,yes,"5, 40, 6",97,168,
TIK-3,601,847,59%,73%,815,c1,yes,21,70,218,
TIK-3,601,847,59%,73%,815,c2,yes,20,70,218,
TIK-13,1241,1564,59%,78%,1525,c1,yes,43,171,224,
TIK-13,1241,1564,59%,78%,1525,c2,,"84, 146, 239, 88, 680, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",171,224,
TIK-16,2198,860,59%,70%,850,c1,yes,"2, 35, 32",204,155,
TIK-16,2198,860,59%,70%,850,c2,yes,"43, 29, 35",204,155,
TIK-17,538,1273,59%,76%,1241,c1,yes,"3, 6, 226, 8, 205",119,239,
TIK-17,538,1273,59%,76%,1241,c2,yes,"3, 5, 3, 6, 208",119,239,
TIK-19,1301,1254,59%,71%,1212,c1,yes,"32, 32, 31",102,301,
TIK-19,1301,1254,59%,71%,1212,c2,yes,"32, 32, 33",102,301,
TIK-19,1309,1331,59%,74%,1268,c1,yes,"32, 31, 39",93,349,
TIK-19,1309,1331,59%,74%,1268,c2,yes,"31, 30, 35",93,349,
TIK-19,1343,1126,59%,69%,1122,c1,yes,22,348,309,
TIK-19,1343,1126,59%,69%,1122,c2,yes,16,348,309,
TIK-19,1350,1678,59%,72%,1668,c1,yes,"963, 33, 33, 27",327,369,
TIK-19,1350,1678,59%,72%,1668,c2,,"983, 23, 58, 26",327,369,
TIK-26,1165,1066,59%,77%,1026,c1,yes,"18, 740",79,125,КОИБ
TIK-26,1165,1066,59%,77%,1026,c2,yes,,79,125,КОИБ
TIK-28,1898,1167,59%,74%,1155,c1,yes,"178, 1043, 191, 191",59,202,
TIK-28,1898,1167,59%,74%,1155,c2,yes,"188, 1050, 174, 174",59,202,
TIK-29,2107,1134,59%,76%,1095,c1,yes,"60, 67",82,133,
TIK-29,2107,1134,59%,76%,1095,c2,yes,"77, 64",82,133,
TIK-2,111,998,58%,71%,977,c1,yes,"183, 204",405,154,КОИБ
TIK-2,111,998,58%,71%,977,c2,yes,425,405,154,КОИБ
TIK-3,618,1211,58%,77%,1186,c1,yes,,181,268,
TIK-3,618,1211,58%,77%,1186,c2,yes,155,181,268,
TIK-6,1116,1340,58%,76%,1319,c1,yes,154,67,164,КОИБ
TIK-6,1116,1340,58%,76%,1319,c2,yes,,67,164,КОИБ
TIK-6,1126,1122,58%,78%,1094,c1,yes,15,143,199,КОИБ
TIK-6,1126,1122,58%,78%,1094,c2,yes,,143,199,КОИБ
TIK-16,2216,908,58%,66%,882,c1,yes,26,226,111,
TIK-16,2216,908,58%,66%,882,c2,yes,33,226,111,
TIK-19,1310,645,58%,71%,617,c1,yes,"31, 30, 30",94,264,
TIK-19,1310,645,58%,71%,617,c2,yes,"32, 32, 33",94,264,
TIK-19,1340,1772,58%,72%,1758,c1,yes,,451,375,
TIK-19,1340,1772,58%,72%,1758,c2,yes,35,451,375,
TIK-20,2014,1543,58%,77%,1535,c1,yes,2,180,594,
TIK-20,2014,1543,58%,77%,1535,c2,,,180,594,
TIK-21,854,1275,58%,78%,1244,c1,yes,,50,113,КОИБ
TIK-21,854,1275,58%,78%,1244,c2,yes,2,50,113,КОИБ
TIK-23,2091,1150,58%,74%,1096,c1,yes,56,174,174,
TIK-23,2091,1150,58%,74%,1096,c2,yes,58,174,174,
TIK-23,2097,1337,58%,75%,1305,c1,yes,,132,166,
TIK-23,2097,1337,58%,75%,1305,c2,yes,"7, 4, 34, 41, 41, 5, 21, 40, 33, 6, 34, 22, 4, 34, 2, 2, 34, 21, 38, 36, 35, 7, 6, 6, 7",132,166,
TIK-24,1548,915,58%,76%,853,c1,yes,,62,136,
TIK-24,1548,915,58%,76%,853,c2,yes,66,62,136,
TIK-30,2268,834,58%,72%,825,c1,yes,26,156,150,
TIK-30,2268,834,58%,72%,825,c2,yes,33,156,150,
TIK-3,588,1111,57%,69%,1083,c1,yes,266,316,318,
TIK-3,588,1111,57%,69%,1083,c2,yes,275,316,318,
TIK-4,901,624,57%,79%,565,c1,yes,"21, 36, 162",50,142,КОИБ
TIK-4,901,624,57%,79%,565,c2,yes,"22, 42, 175",50,142,КОИБ
TIK-7,772,1163,57%,74%,1133,c1,,,81,125,
TIK-7,772,1163,57%,74%,1133,c2,yes,30,81,125,
TIK-13,1249,821,57%,78%,797,c1,yes,,100,106,
TIK-13,1249,821,57%,78%,797,c2,yes,"2, 2",100,106,
TIK-16,2218,1069,57%,68%,1049,c1,yes,35,335,174,
TIK-16,2218,1069,57%,68%,1049,c2,yes,34,335,174,
TIK-19,1302,1263,57%,68%,1243,c1,yes,"33, 255",152,336,
TIK-19,1302,1263,57%,68%,1243,c2,yes,"32, 32, 31",152,336,
TIK-21,851,1244,57%,78%,1221,c1,,10,77,106,КОИБ
TIK-21,851,1244,57%,78%,1221,c2,yes,,77,106,КОИБ
TIK-29,2105,1286,57%,77%,1244,c1,yes,,157,170,
TIK-29,2105,1286,57%,77%,1244,c2,yes,11,157,170,
TIK-3,589,1045,56%,74%,1015,c1,yes,267,213,355,
TIK-3,589,1045,56%,74%,1015,c2,yes,279,213,355,
TIK-4,910,930,56%,77%,882,c1,,"X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X",72,186,КОИБ
TIK-4,910,930,56%,77%,882,c2,,,72,186,КОИБ
TIK-11,453,1622,56%,72%,1566,c1,yes,"19, 18, 20",147,224,
TIK-11,453,1622,56%,72%,1566,c2,yes,,147,224,
TIK-19,1279,1105,56%,67%,1080,c1,yes,33,494,337,
TIK-19,1279,1105,56%,67%,1080,c2,yes,35,494,337,
TIK-19,1308,1255,56%,74%,1206,c1,yes,"32, 30, 30",166,310,
TIK-19,1308,1255,56%,74%,1206,c2,yes,"39, 40, 31",166,310,
TIK-19,1351,1769,56%,72%,1759,c1,yes,26,205,470,
TIK-19,1351,1769,56%,72%,1759,c2,yes,34,205,470,
TIK-26,1199,1158,56%,81%,1123,c1,yes,,91,147,КОИБ
TIK-26,1199,1158,56%,81%,1123,c2,,19,91,147,КОИБ
TIK-28,1944,1395,56%,75%,1380,c1,yes,154,186,485,
TIK-28,1944,1395,56%,75%,1380,c2,yes,,186,485,
TIK-1,18,784,55%,68%,755,c1,yes,"4, 36",178,147,
TIK-1,18,784,55%,68%,755,c2,,"5, 23",178,147,
TIK-2,167,1067,55%,70%,1040,c1,yes,,104,136,КОИБ
TIK-2,167,1067,55%,70%,1040,c2,yes,163,104,136,КОИБ
TIK-5,1532,1437,55%,70%,1428,c1,yes,,304,286,
TIK-5,1532,1437,55%,70%,1428,c2,yes,"8, 8, 8, 8",304,286,
TIK-16,2203,929,55%,69%,924,c1,,"4, 44, 21",423,118,
TIK-16,2203,929,55%,69%,924,c2,yes,"5, 41, 19",423,118,
