tik,uik,voters,turnout,putin,stationary,cam,marked,gaps,mn_in,mn_out,koib
TIK-3,734,9,100%,89%,0,,,missing,,,
TIK-3,711,22,100%,64%,0,,,missing,0,0,
TIK-18,1667,753,100%,74%,50,,,missing,34,0,
TIK-3,718,25,100%,76%,0,,,missing,0,0,
TIK-3,691,10,100%,80%,0,,,missing,0,0,
TIK-2,187,86,100%,59%,0,,,missing,0,0,
TIK-3,728,9,100%,67%,0,,,missing,,,
TIK-3,727,25,100%,64%,0,,,missing,,,
TIK-3,743,26,100%,46%,0,,,missing,,,
TIK-29,2179,171,100%,78%,171,,,missing,80,0,
TIK-3,670,10,100%,100%,0,,,missing,0,0,
TIK-3,660,11,100%,73%,0,,,missing,0,0,
TIK-1,63,281,100%,78%,188,,,missing,205,0,
TIK-3,735,9,100%,78%,0,,,missing,,,
TIK-3,747,6,100%,50%,6,,,missing,?,?,
TIK-3,730,9,100%,67%,0,,,missing,,,
TIK-22,405,345,99%,79%,325,,,missing,107,0,
TIK-8,1681,294,99%,88%,233,,,missing,84,7,
TIK-22,343,3276,99%,83%,3268,,,missing,96,128,
TIK-29,2178,182,99%,82%,182,,,missing,117,0,
TIK-21,893,385,98%,85%,0,,,missing,,,
TIK-28,1941,370,98%,77%,262,,,missing,240,8,
TIK-22,407,686,98%,78%,521,,,missing,139,0,
TIK-17,573,2617,98%,88%,2617,,,missing,84,68,
TIK-26,1172,614,98%,88%,465,,,missing,131,4,
TIK-19,1353,260,98%,80%,211,,,missing,147,0,
TIK-5,1538,1187,98%,71%,1185,,,missing,1082,0,
TIK-3,2297,53,98%,83%,53,,,missing,?,?,
TIK-13,1268,751,98%,88%,405,,,missing,114,1,
TIK-22,409,337,97%,75%,337,,,missing,87,0,
TIK-20,1987,341,97%,89%,168,,,missing,54,12,
TIK-15,2293,283,97%,85%,179,,,missing,184,0,
TIK-11,508,933,97%,79%,787,,,missing,6,0,
TIK-18,1665,361,97%,81%,193,,,missing,60,0,
TIK-5,1537,1007,97%,82%,788,,,missing,333,0,
TIK-8,1692,523,97%,82%,423,,,missing,117,45,
TIK-3,716,24,96%,83%,0,,,missing,0,0,
TIK-2,184,365,96%,78%,25,,,missing,23,0,
TIK-17,2285,950,96%,66%,950,,,missing,483,0,
TIK-3,726,24,96%,75%,0,,,missing,,,
TIK-1,62,388,95%,71%,96,,,missing,391,0,
TIK-26,1210,559,95%,76%,355,,,missing,117,4,
TIK-13,1274,1728,95%,80%,1509,,,missing,1169,0,
TIK-17,2284,500,95%,80%,500,,,missing,0,0,
TIK-27,1413,951,95%,77%,741,,,missing,419,0,
TIK-16,2226,523,94%,69%,331,,,missing,204,0,
TIK-20,2022,345,94%,84%,192,,,missing,219,0,
TIK-11,509,3706,94%,83%,3699,,,missing,83,99,
TIK-2,186,211,94%,62%,0,,,missing,0,2,
TIK-13,1273,408,93%,82%,376,,,missing,108,0,
TIK-5,1508,604,93%,90%,589,,,missing,216,6,
TIK-2,191,12,92%,33%,0,,,missing,0,0,
TIK-2,185,808,92%,67%,735,,,missing,647,1,
TIK-27,1414,642,91%,68%,642,,,missing,702,0,
TIK-22,406,426,90%,77%,316,,,missing,121,0,
TIK-23,2101,599,90%,77%,329,,,missing,359,0,
TIK-18,1635,1319,89%,79%,1288,,,missing,320,93,
TIK-2,189,14,88%,71%,0,,,missing,0,0,
TIK-13,1272,652,88%,88%,293,,,missing,177,17,
TIK-11,507,437,86%,81%,205,,,missing,56,0,
TIK-30,2270,623,85%,69%,623,,,missing,649,0,
TIK-29,2177,216,85%,70%,216,,,missing,117,0,
TIK-26,1164,540,85%,75%,288,,,missing,300,0,
TIK-4,959,416,85%,63%,414,,,missing,448,0,
TIK-7,815,275,85%,78%,242,,,missing,22,0,
TIK-17,2283,222,84%,74%,187,,,missing,74,0,
TIK-1,43,1757,84%,72%,1707,,,missing,376,147,
TIK-3,724,41,84%,93%,41,,,missing,0,0,
TIK-3,721,24,83%,83%,24,,,missing,0,0,
TIK-17,548,1991,82%,73%,1948,,,missing,376,326,
TIK-18,1663,1311,81%,83%,1304,,,missing,95,64,
TIK-1,31,1525,81%,74%,1506,,,missing,281,363,
TIK-18,1654,1910,81%,88%,1815,,,missing,132,120,
TIK-2,183,119,80%,71%,79,,,missing,41,0,
TIK-18,1655,1486,80%,80%,1468,,,missing,213,158,
TIK-18,1646,1422,79%,80%,1407,,,missing,87,162,
TIK-15,1233,1634,79%,81%,1606,,,missing,203,98,КОИБ
TIK-13,1269,229,79%,76%,199,,,missing,115,49,
TIK-3,737,47,77%,57%,0,,,missing,,,
TIK-18,1656,2041,76%,86%,2031,,,missing,326,132,
TIK-24,1605,121,76%,72%,34,,,missing,0,0,
TIK-2,134,1513,76%,75%,1495,,,missing,128,274,КОИБ
TIK-18,1661,1829,76%,77%,1764,,,missing,155,98,
TIK-18,1634,1153,76%,73%,1129,,,missing,647,77,
TIK-18,1632,1522,76%,72%,1481,,,missing,337,149,
TIK-1,32,1257,75%,71%,1238,,,missing,180,212,
TIK-20,1976,1576,75%,79%,1539,,,missing,175,177,
TIK-1,34,1208,75%,77%,1037,,,missing,183,228,
TIK-16,2181,2264,75%,76%,2236,,,missing,1299,233,
TIK-28,1946,687,75%,80%,550,,,missing,231,0,
TIK-2,114,1055,74%,75%,993,,,missing,61,452,КОИБ
TIK-18,1651,1790,74%,83%,1723,,,missing,130,114,
TIK-8,1712,1423,74%,76%,1398,,,missing,161,190,КОИБ
TIK-2,105,1310,74%,74%,1287,,,missing,142,299,КОИБ
TIK-12,1788,214,74%,81%,168,,,missing,74,0,
TIK-18,1650,1273,74%,76%,1249,,,missing,198,73,
TIK-6,1088,1847,73%,78%,1820,,,missing,685,153,КОИБ
TIK-15,1226,1682,73%,75%,1659,,,missing,138,305,КОИБ
TIK-8,1699,2520,72%,82%,2505,,,missing,109,328,КОИБ
TIK-25,1047,357,72%,80%,343,,,missing,89,95,
TIK-30,2243,1534,72%,73%,1240,,,missing,332,167,
TIK-18,1644,1207,72%,64%,1184,,,missing,109,106,
TIK-18,1627,1142,72%,71%,1119,,,missing,180,100,
TIK-2,180,748,72%,68%,740,,,missing,173,52,
TIK-18,1657,1728,72%,78%,1659,,,missing,144,131,
TIK-8,1686,1862,72%,76%,1833,,,missing,300,156,КОИБ
TIK-13,1255,371,71%,76%,336,,,missing,258,18,
TIK-15,1237,1274,71%,80%,1254,,,missing,84,166,КОИБ
TIK-26,1181,1574,71%,73%,1540,,,missing,243,200,КОИБ
TIK-4,940,1427,71%,81%,1383,,,missing,176,219,КОИБ
TIK-13,1261,466,70%,73%,423,,,missing,251,73,
TIK-15,1221,1298,70%,82%,1082,,,missing,113,136,КОИБ
TIK-26,1213,1811,70%,74%,1791,,,missing,201,236,КОИБ
TIK-4,945,1484,70%,69%,1450,,,missing,387,273,КОИБ
TIK-25,1046,1511,70%,75%,1487,,,missing,137,364,КОИБ
TIK-25,1045,1621,70%,75%,1523,,,missing,203,298,КОИБ
TIK-8,1684,1797,69%,80%,1748,,,missing,233,269,КОИБ
TIK-13,1267,1045,69%,77%,1030,,,missing,89,166,
TIK-14,289,1276,69%,72%,1257,,,missing,311,232,
TIK-14,293,826,69%,74%,787,,,missing,151,145,
TIK-2,182,762,68%,66%,756,,,missing,200,113,
TIK-2,178,1216,68%,70%,1146,,,missing,130,267,КОИБ
TIK-15,1229,1210,67%,81%,1162,,,missing,51,161,КОИБ
TIK-1,35,772,67%,70%,760,,,missing,259,89,
TIK-15,1225,752,66%,78%,728,,,missing,113,83,КОИБ
TIK-1,45,1136,66%,72%,1115,,,missing,239,152,
TIK-1,56,1265,66%,77%,1236,,,missing,216,189,
TIK-20,1979,1319,65%,75%,1294,,,missing,166,245,
TIK-24,1545,1367,65%,74%,1291,,,missing,303,427,
TIK-11,462,1056,65%,68%,1022,,,missing,71,139,
TIK-30,2233,1082,64%,83%,1059,,,missing,183,155,
TIK-17,539,1186,64%,77%,1162,,,missing,118,335,
TIK-26,1212,281,64%,81%,262,,,missing,98,48,
TIK-1,30,853,63%,68%,820,,,missing,184,107,
TIK-1,53,1179,62%,74%,1157,,,missing,171,174,
TIK-1,57,1226,62%,66%,1217,,,missing,293,150,
TIK-24,1557,1253,61%,73%,1210,,,missing,205,169,
TIK-16,2183,1222,61%,68%,1195,,,missing,542,154,
TIK-2,115,1261,60%,73%,1229,,,missing,218,275,КОИБ
TIK-6,1094,1487,60%,76%,1441,,,missing,308,258,КОИБ
TIK-16,2180,1045,59%,69%,1027,,,missing,193,205,
TIK-28,1929,95,58%,87%,95,,,missing,20,27,
TIK-1,7,1356,58%,69%,1323,,,missing,273,172,
TIK-3,586,760,58%,72%,745,,,missing,90,200,
TIK-30,2240,1752,58%,71%,1493,,,missing,188,170,
TIK-1,33,1297,57%,70%,1246,,,missing,223,205,
TIK-16,2188,816,56%,68%,804,,,missing,225,169,
TIK-21,826,1245,56%,76%,1230,,,missing,155,181,КОИБ
TIK-16,2185,881,56%,70%,805,,,missing,135,191,
TIK-30,2236,705,56%,67%,687,,,missing,133,100,
TIK-30,2242,530,55%,70%,520,,,missing,94,74,
TIK-1,11,1095,55%,67%,1067,,,missing,223,174,
TIK-18,1653,877,55%,74%,857,,,missing,366,90,
TIK-13,1270,52,54%,75%,43,,,missing,31,22,
TIK-18,1620,1072,52%,70%,1037,,,missing,111,158,
TIK-18,1645,730,52%,72%,705,,,missing,155,114,
TIK-30,2237,1150,51%,69%,1141,,,missing,161,589,
